"","Animal","Genotype","Day","Sex","Winding","Time","Distance","TimeNorm","DistNorm","Quadrant"
"274","190715_9","E22","Probe_D8","M",16.62564396,13.7,0.2748,0.228333333333333,0.223997391587871,"NW"
"275","210222_16","E22","Probe_D8","M",18.52169676,11,0.2436,0.183333333333333,0.188384502358673,"NW"
"276","210222_17","E22","Probe_D8","F",16.92387451,15.4,0.3471,0.256666666666667,0.255671773718326,"NW"
"277","210503-18","E22","Probe_D8","M",16.90386145,9.6,0.2427,0.187134502923977,0.201193732902263,"NW"
"278","210503-19","E22","Probe_D8","M",13.25988071,3.6,0.0897,0.096514745308311,0.110918758501298,"NW"
"279","210503-20","E22","Probe_D8","M",19.18400168,11,0.245,0.212765957446809,0.22863008585293,"NW"
"280","210503-21","E22","Probe_D8","F",17.95355691,8,0.1919,0.152091254752852,0.161613609567121,"NW"
"281","210503-22","E22","Probe_D8","F",17.59719336,6.1,0.1249,0.117760617760618,0.114189065642713,"NW"
"282","190715_1","E33","Probe_D8","M",14.97833585,14,0.332,0.233333333333333,0.239745811669555,"NW"
"283","190715_2","E33","Probe_D8","M",16.31367683,9.6,0.2265,0.16,0.161670235546039,"NW"
"284","190715_3","E33","Probe_D8","M",18.51503263,9.3,0.1812,0.154742096505824,0.164130434782609,"NW"
"285","210201_1","E33","Probe_D8","F",20.15500079,3.4,0.0755,0.0566666666666667,0.0639667881047191,"NW"
"286","210201_2","E33","Probe_D8","F",14.47823213,5.3,0.1342,0.0883333333333333,0.0855430902600714,"NW"
"287","210201_3","E33","Probe_D8","F",19.9776686,3.6,0.0837,0.06,0.0703716159408105,"NW"
"288","210201_4","E33","Probe_D8","F",18.20014656,5.8,0.1465,0.0966666666666667,0.0990065553828479,"NW"
"289","210201_5","E33","Probe_D8","F",17.63891831,3.6,0.095,0.0601001669449082,0.0663268868253857,"NW"
"290","210222_10","E33","Probe_D8","F",18.90466655,5.4,0.0945,0.09,0.0843373493975904,"NW"
"291","210222_11","E33","Probe_D8","F",17.5291533,17.4,0.3584,0.29,0.277206280454792,"NW"
"292","210222_12","E33","Probe_D8","F",21.28864558,3.2,0.0582,0.0533333333333333,0.0543468110934728,"NW"
